sku_id,category,cost,price,current_stock,reorder_point,first_stock_date
1001,Beauty,30.41,47.07,289,45,2026-04-29
1002,Home & Kitchen,62.76,98.58,919,138,2026-03-09
1003,Sports,144.79,311.92,234,70,2026-01-08
1004,Home & Kitchen,21.54,36.0,1373,59,2026-03-16
1005,Sports,94.33,156.16,1758,69,2025-12-24
1006,Beauty,3.44,7.39,379,55,2026-01-03
1007,Apparel,14.25,30.79,340,71,2026-03-16
1008,Home & Kitchen,55.81,110.16,328,31,2026-03-04
1009,Sports,33.67,51.97,340,58,2026-01-29
1010,Beauty,35.9,52.06,110,64,2026-03-22
1011,Home & Kitchen,111.72,210.02,167,57,2026-02-10
1012,Apparel,49.17,110.1,319,65,2026-01-17
1013,Sports,137.1,338.05,366,85,2026-01-05
1014,Beauty,23.11,39.4,182,89,2026-04-25
1015,Apparel,14.58,21.74,124,85,2026-01-25
1016,Home & Kitchen,114.19,187.78,342,62,2026-02-13
1017,Sports,77.27,110.91,249,60,2026-03-23
1018,Electronics,223.23,372.41,327,91,2025-12-29
1019,Sports,164.02,257.31,297,53,2025-12-08
1020,Beauty,22.84,51.1,306,49,2026-04-12
1021,Electronics,246.24,567.68,107,29,2025-12-21
1022,Beauty,46.85,71.67,952,132,2026-03-29
1023,Apparel,57.75,117.75,245,83,2026-03-11
1024,Beauty,4.96,10.97,77,85,2026-04-05
1025,Sports,182.44,310.06,1852,147,2026-02-28
1026,Electronics,153.41,282.67,1596,77,2026-03-22
1027,Apparel,14.09,29.45,314,61,2026-02-13
1028,Sports,198.44,285.69,331,33,2026-01-06
1029,Home & Kitchen,99.1,185.7,180,49,2026-01-12
1030,Electronics,131.29,241.15,129,66,2026-01-04
1031,Home & Kitchen,91.15,141.17,116,97,2026-01-18
1032,Sports,163.7,248.61,54,88,2026-03-23
1033,Electronics,451.75,753.58,162,94,2026-03-02
1034,Apparel,48.56,85.71,62,34,2025-12-05
1035,Apparel,25.32,45.04,133,98,2025-12-22
1036,Apparel,61.67,97.54,311,43,2026-02-12
1037,Home & Kitchen,6.7,15.98,365,99,2026-02-23
1038,Sports,167.99,259.19,58,73,2026-02-11
1039,Apparel,45.22,76.3,71,26,2025-12-14
1040,Sports,220.35,331.73,73,42,2025-12-16
1041,Beauty,17.81,37.17,329,96,2026-03-06
1042,Sports,188.46,294.85,23,20,2026-04-18
1043,Apparel,8.24,15.96,123,47,2026-02-27
1044,Apparel,10.92,21.49,182,62,2026-03-20
1045,Home & Kitchen,22.7,52.57,86,34,2026-03-31
1046,Electronics,302.78,702.86,1699,102,2025-12-15
1047,Apparel,12.08,20.51,1609,89,2026-01-28
1048,Sports,132.99,218.89,326,62,2026-02-22
1049,Sports,225.98,331.7,316,81,2026-03-19
1050,Beauty,7.68,13.29,84,21,2026-04-30
1051,Home & Kitchen,49.24,79.59,1208,150,2026-04-17
1052,Apparel,39.75,86.66,361,72,2026-02-18
1053,Electronics,237.79,418.19,308,79,2026-04-17
1054,Apparel,26.67,60.57,140,74,2026-02-11
1055,Sports,57.73,132.92,696,130,2025-12-16
1056,Electronics,285.48,580.21,365,84,2026-02-27
1057,Apparel,33.6,55.41,163,27,2026-02-17
1058,Home & Kitchen,99.59,142.39,379,31,2026-02-07
1059,Sports,41.82,62.08,201,100,2025-12-16
1060,Beauty,26.63,54.89,1911,97,2026-04-07
1061,Electronics,349.12,571.45,274,46,2026-04-13
1062,Home & Kitchen,103.56,227.61,213,73,2026-01-01
1063,Sports,15.79,27.27,178,67,2026-03-21
1064,Sports,72.96,140.41,211,59,2026-02-24
1065,Beauty,44.9,78.86,46,30,2026-01-28
1066,Sports,39.64,83.63,106,25,2025-12-03
1067,Home & Kitchen,65.89,135.64,249,42,2026-02-11
1068,Beauty,22.76,40.7,11,24,2026-03-25
1069,Electronics,77.05,179.24,36,94,2026-01-10
1070,Home & Kitchen,15.4,26.4,1389,129,2025-12-17
1071,Electronics,247.89,475.53,249,73,2026-04-02
1072,Sports,51.4,124.39,891,138,2026-01-08
1073,Beauty,21.73,43.83,161,43,2026-03-05
1074,Apparel,29.62,68.31,113,34,2026-03-17
1075,Sports,84.94,212.24,103,65,2026-03-05
1076,Beauty,33.22,67.75,101,89,2026-02-11
1077,Sports,179.07,371.78,395,63,2026-04-29
1078,Apparel,19.62,33.13,218,20,2026-02-27
1079,Beauty,26.96,61.39,816,114,2025-12-02
1080,Sports,20.42,50.74,236,68,2026-03-31
1081,Beauty,32.49,51.04,170,80,2026-02-14
1082,Apparel,29.69,58.3,190,90,2025-12-03
1083,Apparel,15.65,36.23,353,88,2026-03-11
1084,Electronics,436.56,723.77,1696,70,2025-12-21
1085,Electronics,83.05,183.43,138,77,2026-04-17
1086,Beauty,10.16,18.57,54,96,2025-12-01
1087,Apparel,58.77,85.27,167,99,2026-04-06
1088,Beauty,22.16,44.86,394,50,2025-12-14
1089,Beauty,10.52,16.54,233,49,2026-01-27
1090,Apparel,35.2,51.47,1328,98,2026-01-02
1091,Beauty,7.31,17.69,120,65,2025-12-27
1092,Apparel,21.14,41.72,1272,140,2026-03-14
1093,Home & Kitchen,33.91,81.01,338,95,2026-01-03
1094,Beauty,31.37,60.24,360,68,2026-04-11
1095,Beauty,9.04,16.6,656,147,2025-12-18
1096,Beauty,30.21,60.78,299,41,2026-02-01
1097,Home & Kitchen,87.5,154.56,274,42,2026-01-08
1098,Beauty,41.56,83.71,87,23,2026-03-07
1099,Electronics,300.69,575.12,221,57,2025-12-26
1100,Beauty,4.34,8.64,791,65,2026-03-24
1101,Beauty,12.31,21.2,186,95,2025-12-01
1102,Apparel,25.47,47.57,225,100,2026-02-14
1103,Electronics,245.42,469.75,334,86,2025-12-30
1104,Beauty,8.68,13.87,36,47,2025-12-08
1105,Apparel,50.83,77.37,197,60,2026-03-11
1106,Home & Kitchen,38.81,63.62,703,80,2026-02-22
1107,Sports,126.49,199.94,142,44,2026-04-26
1108,Sports,213.14,359.78,241,75,2025-12-17
1109,Apparel,54.33,88.31,132,60,2026-03-01
1110,Apparel,24.21,41.32,933,83,2026-04-07
1111,Sports,26.57,49.34,191,32,2026-03-03
1112,Sports,63.69,128.41,61,56,2026-02-24
1113,Apparel,25.71,53.16,298,29,2026-02-04
1114,Electronics,50.87,103.82,115,29,2026-03-25
